,Name,Result
445,Wilson Boit KIPKETER,08:21.77
446,Ali EZZINE,08:22.15
447,Matthew BIRIR,8:08.84
448,Patrick SANG,8:09.55
449,William MUTWOL,8:10.74
450,Julius KORIR,8:11.80
451,Joseph MAHMOUD,8:13.31
452,Brian Lee DIEMER,8:14.06
453,Anders GARDERUD,8:08.02
454,Bronislaw MALINOWSKI,8:09.11
455,Frank BAUMGARTL,8:10.36
456,Amos BIWOTT,8:51.0
457,Benjamin KOGO,8:51.6
458,George YOUNG,8:51.8
459,Zdzislaw KRZYSZKOWIAK,8:34.2
460,Nikolay SOKOLOV,8:36.4
461,Semyon RZISHCHIN,8:42.2
462,Horace ASHENFELTER,08:45.4
463,Vladimir KAZANTSEV,08:51.6
464,John DISLEY,08:51.8
465,Volmari ISO-HOLLO,9:03.8
466,Kaarlo Jalmari TUOMINEN,9:06.8
467,Alfred DOMPERT,9:07.2
468,Toivo LOUKOLA,9:21.8
469,Paavo NURMI,9:31.2
470,Ove ANDERSEN,9:35.6
471,Percy HODGE,10:00.4
472,Patrick FLYNN,
473,Ernesto AMBROSINI,
474,George ORTON,7:34.4
475,Sidney ROBINSON,7:38.0
476,Jean CHASTANIE,
477,Ezekiel KEMBOI,8:18.56
478,Mahiedine MEKHISSI-BENABBAD,8:19.08
479,Abel Kiprop MUTAI,8:19.73
480,Ezekiel KEMBOI,8:05.81
481,Brimin Kiprop KIPRUTO,8:06.11
482,Paul Kipsiele KOECH,8:06.64
483,Joseph KETER,8:07.12
484,Moses KIPTANUI,8:08.33
485,Alessandro LAMBRUSCHINI,8:11.28
486,Bronislaw MALINOWSKI,08:09.7
487,Filbert BAYI,08:12.5
488,Eshetu TURA,08:13.6
489,Kip KEINO,8:23.64
490,Ben JIPCHO,8:24.62
491,Tapio KANTANEN,8:24.66
492,Gaston ROELANTS,8:30.8
493,Maurice HERRIOTT,8:32.4
494,Ivan BELYAEV,8:33.8
495,Christopher William BRASHER,8:41.2
496,SÃÂ¡ndor ROZSNYÃ?I,8:43.6
497,Ernst LARSEN,8:44.0
498,Tore SJÃSTRAND,9:04.6
499,Fritz Erik ELMSÃ?TER,9:08.2
500,Gote Ernst HAGSTROM,9:11.8
501,Volmari ISO-HOLLO,10:33.4
502,Thomas EVENSON,10:46.0
503,Joseph MCCLUSKEY,10:46.2
504,Ville RITOLA,9:33.6
505,Elias KATZ,9:44.0
506,Paul BONTEMPS,9:45.2
507,James LIGHTBODY,7:39.6
508,John DALY,7:40.6
509,Arthur NEWTON,
510,Kerron CLEMENT,47.73
511,Boniface MUCHERU,47.78
512,Yasmani COPELLO,47.92
513,Angelo TAYLOR,47.25
514,Kerron CLEMENT,47.98
515,Bershawn JACKSON,48.06
516,Angelo TAYLOR,47.5
517,Hadi Soua An AL SOMAILY,47.53
518,Llewellyn HERBERT,47.81
519,Kevin YOUNG,46.78
520,Winthrop GRAHAM,47.66
521,Kriss AKABUSI,47.82
522,Edwin MOSES,47.75
523,Danny HARRIS,48.13
524,Harald SCHMID,48.19
525,Edwin MOSES,47.64
526,Michael Lyle SHINE,48.69
527,Yevgeni GAVRILENKO,49.45
528,David HEMERY,48.1
529,Gerhard HENNIGE,49.0
530,John SHERWOOD,49.0
531,Glenn DAVIS,49.3
532,Clifton Emmett CUSHMAN,49.6
533,Richard HOWARD,49.7
534,Charles Hewes Jr. MOORE,50.8
535,Yury Nikolayevich LITUYEV,51.3
536,John Macfarlane HOLLAND,52.2
537,Glenn HARDIN,52.4
538,John LOARING,52.7
539,Miguel WHITE,52.8
540,David George BURGHLEY,53.4
541,Frank CUHEL,53.6
542,Morgan TAYLOR,53.6
543,Frank LOOMIS,0:54.0
544,John NORTON,54.6
545,August DESCH,54.7
546,Harry HILLMAN,53.0
547,Frank WALLER,53.2
548,George POAGE,
549,Felix SANCHEZ,47.63
550,Michael TINSLEY,47.91
551,Javier CULSON,48.1
552,Felix SANCHEZ,47.63
553,Danny MCFARLANE,48.11
554,Naman KEITA,48.26
555,Derrick ADKINS,47.54
556,Samuel MATETE,47.78
557,Calvin DAVIS,47.96
558,Volker BECK,48.7
559,Vasili ARKHIPENKO,48.86
560,Gary OAKES,49.11
561,John AKII-BUA,47.82
562,Ralph MANN,48.51
563,David HEMERY,48.52
564,Warren (Rex) Jay CAWLEY,49.6
565,John COOPER,50.1
566,Salvatore MORALE,50.1
567,Glenn DAVIS,50.1
568,Eddie SOUTHERN,50.8
569,Josh CULBREATH,51.6
570,Roy Braxton COCHRAN,51.1
571,Duncan WHITE,51.8
572,Rune LARSSON,52.2
573,Robert Morton Newburgh TISDALL,51.8
574,Glenn HARDIN,51.9
575,Morgan TAYLOR,52.0
576,Morgan TAYLOR,52.6
577,Erkka WILEN,53.8
578,Ivan RILEY,54.2
579,Charles BACON,55.0
580,Harry HILLMAN,
581,Leonard Francis TREMEER,
582,Walter TEWKSBURY,57.6
583,Henri TAUZIN,58.3
584,George ORTON,
585,Wayde VAN NIEKERK,43.03
586,Kirani JAMES,43.76
587,Lashawn MERRITT,43.85
588,Lashawn MERRITT,43.75
589,Jeremy WARINER,44.74
590,David NEVILLE,44.8
591,Michael JOHNSON,43.84
592,Alvin HARRISON,44.4
593,Greg HAUGHTON,44.7
594,Quincy WATTS,43.5
595,Steve LEWIS,44.21
596,Samson KITUR,44.24
597,Alonzo BABERS,44.27
598,Gabriel TIACOH,44.54
599,Antonio MCKAY,44.71
600,Alberto JUANTORENA,44.26
601,Frederick Vaughn NEWHOUSE,44.4
602,Herman Ronald FRAZIER,44.95
603,Lee EVANS,43.8
604,Larry JAMES,43.9
605,Ron FREEMAN,44.4
606,Otis DAVIS,44.9
607,Carl KAUFMANN,44.9
608,Malcolm SPENCE,45.5
609,George RHODEN,45.9
610,Herbert MCKENLEY,45.9
611,Ollie MATSON,46.8
612,Archibald Franklin WILLIAMS,46.5
613,Godfrey BROWN,46.7
614,James Ellis LU VALLE,46.8
615,Raymond James BARBUTI,47.8
616,James BALL,48.0
617,Joachim BÃCHNER,48.2
618,Bevil RUDD,0:49.6
619,Guy BUTLER,0:49.9
620,Nils ENGDAHL,0:50.0
621,Wyndham HALSWELLE,50.0
622,Maxwell Warburn LONG,49.4
623,William HOLLAND,49.6
624,Ernst SCHULTZ,
625,Kirani JAMES,43.94
626,Luguelin SANTOS,44.46
627,Lalonde GORDON,44.52
628,Jeremy WARINER,44.0
629,Otis HARRIS,44.16
630,Derrick BREW,44.42
631,Michael JOHNSON,43.49
632,Roger BLACK,44.41
633,Davis KAMOGA,44.53
634,Viktor MARKIN,44.6
635,Rick MITCHELL,44.84
636,Frank SCHAFFER,44.87
637,Vince MATTHEWS,44.66
638,Wayne COLLETT,44.8
639,Julius SANG,44.92
640,Mike LARRABEE,45.1
641,Wendell MOTTLEY,45.2
642,Andrzej BADENSKI,45.6
643,Charles JENKINS,46.7
644,Karl-Friedrich HAAS,46.8
645,Voitto HELLSTEN,47.0
646,Ardalion IGNATYEV,47.0
647,Arthur WINT,46.2
648,Herbert MCKENLEY,46.4
649,Mal WHITFIELD,46.9
650,William Arthur CARR,46.2
651,Benjamin Bangs EASTMAN,46.4
652,Alex WILSON,47.4
653,Eric LIDDELL,47.6
654,Horatio FITCH,48.4
655,Guy BUTLER,48.6
656,Charles REIDPATH,0:48.2
657,Hanns BRAUN,0:48.3
658,Edward LINDBERG,0:48.4
659,Harry HILLMAN,49.2
660,Frank WALLER,49.9
661,Herman GROMAN,50.0
662,Thomas BURKE,54.2
663,Herbert JAMISON,55.2
664,Charles GMELIN,55.6
665,,37.27
666,,37.6
667,,37.64
668,,38.06
669,,38.15
670,,37.61
671,,37.9
672,,38.04
673,,37.4
674,,37.98
675,,38.0
676,,37.83
677,,38.62
678,,38.7
679,,38.33
680,,38.66
681,,38.78
682,,38.2
683,,38.3
684,,38.4
685,,39.5
686,,40.1
687,,40.2
688,,40.1
689,,40.3
690,,40.5
691,,39.8
692,,41.1
693,,41.2
694,,41.0
695,,
696,,
697,,0:42.2
698,,0:42.6
699,,0:42.9
700,,36.84
701,,38.12
702,,38.16
703,,38.07
704,,38.08
705,,38.23
706,,37.69
707,,38.05
708,,38.41
709,,38.26
710,,38.33
711,,38.53
712,,38.19
713,,38.5
714,,38.79
715,,39.0
716,,39.3
717,,39.3
718,,39.5
719,,39.8
720,,40.3
721,,40.6
722,,41.3
723,,41.5
724,,40.0
725,,40.9
726,,41.2
727,,41.0
728,,41.2
729,,41.8
730,,0:42.4
731,,0:42.6
732,,
733,,
734,,
735,,2:55.39
736,,2:58.03
737,,02:58.68
738,,02:58.78
739,,02:59.23
740,,2:55.74
741,,2:59.51
742,,2:59.73
743,,2:57.91
744,,2:59.13
745,,2:59.32
746,,2:58.65
747,,3:01.43
748,,3:01.98
749,,2:56.1
750,,2:59.6
751,,3:00.5
752,,3:02.2
753,,3:02.7
754,,3:04.0
755,,3:03.9
756,,3:04.0
757,,3:06.6
758,,3:09.0
759,,3:11.0
760,,3:11.8
761,,3:14.2
762,,
763,,
764,,3:22.2
765,,3:23.0 est
766,,3:23.5 est
767,,3:29.4
768,,
769,,
770,,2:56.72
771,,2:57.05
772,,2:59.40
773,,2:55.91
774,,3:00.60
775,,3:00.90
776,,2:55.99
777,,2:56.60
778,,2:59.42
779,,3:01.1
780,,3:01.3
781,,3:04.3
782,,2:59.8
783,,3:00.5
784,,3:00.7
785,,3:00.7
786,,3:01.6
787,,3:01.7
788,,3:04.8
789,,3:06.2
790,,3:07.2
791,,3:10.4
792,,3:14.8
793,,3:16.0
794,,3:08.2
795,,3:11.2
796,,3:12.8
797,,3:16.00
798,,3:17.00
799,,3:17.40
800,,3:16.6
801,,3:20.7
802,,3:23.2
803,Mohamed FARAH,13:03.30
804,Paul Kipkemoi CHELIMO,13:03.90
805,Hagos GEBRHIWET,13:04.35
806,Kenenisa BEKELE,12:57.82
807,Eliud Kipchoge ROTICH,13:02.80
808,Edwin Cheruiyot SOI,13:06.22
809,Millon WOLDE,13:35.49
810,Ali SAIDI-SIEF,13:36.20
811,Brahim LAHLAFI,13:36.47
812,Dieter BAUMANN,13:12.52
813,Paul BITOK,13:12.71
814,Fita BAYISSA,13:13.03
815,SaÃ¯d AOUITA,13:05.59
816,Markus RYFFEL,13:07.54
817,AntÃ³nio LEITÃO,13:09.20
818,Lasse VIREN,13:24.76
819,Dick Theodorus QUAX,13:25.16
820,Klaus-Peter HILDENBRAND,13:25.38
821,Mohamed GAMMOUDI,14:05.0
822,Kip KEINO,14:05.2
823,Naftali TEMU,14:06.4
824,Murray HALBERG,13:43.4
825,Hans GRODOTZKI,13:44.6
826,Kazimierz ZIMNY,13:44.8
827,Emil ZÃTOPEK,14:06.6
828,Alain MIMOUN,14:07.4
829,Herbert SCHADE,14:08.6
830,Gunnar HÃCKERT,14:22.2
831,Lauri LEHTINEN,14:25.8
832,Henry JONSSON-KÃLARNE,14:29.0
833,Ville RITOLA,14:38.0
834,Paavo NURMI,14:40.0
835,Edvin WIDE,14:41.2
836,Joseph GUILLEMOT,14:55.6
837,Paavo NURMI,15:00.0
838,Eric BACKMAN,15:13.0
839,Mohamed FARAH,13:41.66
840,Dejen GEBREMESKEL,13:41.98
841,Thomas Pkemei LONGOSIWA,13:42.36
842,Hicham EL GUERROUJ,13:14.39
843,Kenenisa BEKELE,13:14.59
844,Eliud Kipchoge ROTICH,13:15.10
845,Venuste NIYONGABO,13:07.96
846,Paul BITOK,13:08.16
847,Khalid BOULAMI,13:08.37
848,Miruts YIFTER,13:21.0
849,Suleiman NYAMBUI,13:21.6
850,Kaarlo MAANINKA,13:22.0
851,Lasse VIREN,13:26.42
852,Mohamed GAMMOUDI,13:27.33
853,Ian STEWART,13:27.61
854,Robert Keyser SCHUL,13:48.8
855,Harald NORPOTH,13:49.6
856,Bill DELLINGER,13:49.8
